1090506,6.9898,5.7512,5.7616,6.9444,7.0206,6.8717,7.2767,6.7436,6.8971,7.1018,6.9855,4.9355,4.9834,4.4341,6.3553,5.2605,5.59,5.5915,5.8104,6.6067,6.5067,6.2009,6.312,7.1693,7.3848,6.6868,7.2946,7.2299,7.2069,6.6587,6.7382,6.478,6.4937,6.097,5.5012,6.8462,6.7749,7.0936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506,1090506
6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898,6.9898
5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512,5.7512
5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616,5.7616
6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444
7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206,7.0206
6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717,6.8717
7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767,7.2767
6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436,6.7436
6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971,6.8971
7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018,7.1018
6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855,6.9855
4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355,4.9355
4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834,4.9834
4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341,4.4341
6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553,6.3553
5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605,5.2605
5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59
5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915,5.5915
5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104,5.8104
6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067,6.6067
6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067,6.5067
6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009,6.2009
6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312,6.312
7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693,7.1693
7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848,7.3848
6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868,6.6868
7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946,7.2946
7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299,7.2299
7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069,7.2069
6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587,6.6587
6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382,6.7382
6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478,6.478
6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937,6.4937
6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097,6.097
5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012,5.5012
6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462,6.8462
6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749,6.7749
7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936,7.0936
